structure,force,seed,status,steps,frames,r_mean_over_R,r_sd_over_R,Rg_mean_over_R,Gzz_mean,Gperp_mean,stretch_mean,clearance_min_over_R,clearance_p01_over_R
n1,0.001,101,done,4000001,2001,0.2608656911988919,0.0923156758331644,0.07359225554077659,2.490281817943468,2.270049185895874,1.097016678500153,0.4279142409477832,0.4536373007450771
n1,0.001,102,done,4000001,2001,0.6443342749979022,0.08120585068407478,0.07440495949562978,2.8820760527881943,2.1524550867752676,1.3389715169880823,0.10747697926862089,0.13395330462596367
n1,0.001,103,done,4000001,2001,0.2851627523875145,0.11942641883732891,0.07349499979928707,2.4611930845003256,2.2753249215789313,1.081688624406405,0.4665597508209157,0.4839840057726897
n1,0.001,104,done,4000001,2001,0.34891330180640645,0.16257007534957219,0.07343084552154036,2.497729827107053,2.2508015754116713,1.1097068059632127,0.30240310552165334,0.3271518570653543
n1,0.001,105,done,4000001,2001,0.12286498742501378,0.06003355258709849,0.07282462805754424,2.3463799747212852,2.268360487156976,1.0343946599343625,0.6485805109722987,0.6711232237698879
n1,0.003,101,done,4000001,2001,0.42928666677965593,0.10756217439132792,0.0756618170238121,3.3316118850814114,2.0498975506070973,1.6252577520738642,0.30715809492714996,0.33052342850694255
n1,0.003,102,done,4000001,2001,0.46725759190282073,0.12545348706844076,0.07560730467441941,3.326141745165385,2.0494510980028213,1.6229427227644961,0.2729187666772071,0.29534288358878413
n1,0.003,103,done,4000001,2001,0.5052872928901482,0.07081426548114685,0.07569720613291614,3.432986640741849,2.002862780715133,1.7140398602424889,0.24665779243352542,0.29392603337693873
n1,0.003,104,done,4000001,2001,0.4791486839859513,0.11757675853163405,0.07586783263339687,3.4058923817537408,2.034115346770515,1.6743850771103725,0.24581602774216765,0.2756764401124722
n1,0.003,105,done,4000001,2001,0.5121033856376468,0.10727679348171654,0.07599199124440344,3.4172111546321875,2.041292819913095,1.6740426073598154,0.18909349887169005,0.2207044939359632
