run_id,kind,stage,pipe_radius,structure,g,seed,steps,sample_interval,design_time,tau_shape_used,tau_int_r_used,tau_r_used
r36_fluid_g0_s301,fluid,production,36.0,fluid,0.0,301,1000000,2000,5000.0,,,
r36_fluid_g0_s302,fluid,production,36.0,fluid,0.0,302,1000000,2000,5000.0,,,
r36_fluid_g0_s303,fluid,production,36.0,fluid,0.0,303,1000000,2000,5000.0,,,
r36_fluid_g0.0001_s301,fluid,production,36.0,fluid,0.0001,301,1000000,2000,5000.0,,,
r36_fluid_g0.0001_s302,fluid,production,36.0,fluid,0.0001,302,1000000,2000,5000.0,,,
r36_fluid_g0.0001_s303,fluid,production,36.0,fluid,0.0001,303,1000000,2000,5000.0,,,
r36_fluid_g0.0003_s301,fluid,production,36.0,fluid,0.0003,301,1000000,2000,5000.0,,,
r36_fluid_g0.0003_s302,fluid,production,36.0,fluid,0.0003,302,1000000,2000,5000.0,,,
r36_fluid_g0.0003_s303,fluid,production,36.0,fluid,0.0003,303,1000000,2000,5000.0,,,
r36_g1_g0_s101,gel,production,36.0,g1,0.0,101,4000000,383,20000.0,19.105806,655.246572,655.246572
r36_g1_g0_s102,gel,production,36.0,g1,0.0,102,4000000,383,20000.0,19.105806,655.246572,655.246572
r36_g1_g0_s103,gel,production,36.0,g1,0.0,103,4000000,383,20000.0,19.105806,655.246572,655.246572
r36_g1_g0_s104,gel,production,36.0,g1,0.0,104,4000000,383,20000.0,19.105806,655.246572,655.246572
r36_g1_g0_s105,gel,production,36.0,g1,0.0,105,4000000,383,20000.0,19.105806,655.246572,655.246572
r36_g1_g0.0001_s101,gel,production,36.0,g1,0.0001,101,4000000,383,20000.0,19.105806,655.246572,655.246572
r36_g1_g0.0001_s102,gel,production,36.0,g1,0.0001,102,4000000,383,20000.0,19.105806,655.246572,655.246572
r36_g1_g0.0001_s103,gel,production,36.0,g1,0.0001,103,4000000,383,20000.0,19.105806,655.246572,655.246572
r36_g1_g0.0001_s104,gel,production,36.0,g1,0.0001,104,4000000,383,20000.0,19.105806,655.246572,655.246572
r36_g1_g0.0001_s105,gel,production,36.0,g1,0.0001,105,4000000,383,20000.0,19.105806,655.246572,655.246572
r36_g1_g0.0003_s101,gel,production,36.0,g1,0.0003,101,4000000,383,20000.0,19.105806,655.246572,655.246572
r36_g1_g0.0003_s102,gel,production,36.0,g1,0.0003,102,4000000,383,20000.0,19.105806,655.246572,655.246572
r36_g1_g0.0003_s103,gel,production,36.0,g1,0.0003,103,4000000,383,20000.0,19.105806,655.246572,655.246572
r36_g1_g0.0003_s104,gel,production,36.0,g1,0.0003,104,4000000,383,20000.0,19.105806,655.246572,655.246572
r36_g1_g0.0003_s105,gel,production,36.0,g1,0.0003,105,4000000,383,20000.0,19.105806,655.246572,655.246572
r36_g2_g0_s101,gel,production,36.0,g2,0.0,101,4000000,710,20000.0,35.498403,727.776733,727.776733
r36_g2_g0_s102,gel,production,36.0,g2,0.0,102,4000000,710,20000.0,35.498403,727.776733,727.776733
r36_g2_g0_s103,gel,production,36.0,g2,0.0,103,4000000,710,20000.0,35.498403,727.776733,727.776733
r36_g2_g0_s104,gel,production,36.0,g2,0.0,104,4000000,710,20000.0,35.498403,727.776733,727.776733
r36_g2_g0_s105,gel,production,36.0,g2,0.0,105,4000000,710,20000.0,35.498403,727.776733,727.776733
r36_g2_g0.0001_s101,gel,production,36.0,g2,0.0001,101,4000000,710,20000.0,35.498403,727.776733,727.776733
r36_g2_g0.0001_s102,gel,production,36.0,g2,0.0001,102,4000000,710,20000.0,35.498403,727.776733,727.776733
r36_g2_g0.0001_s103,gel,production,36.0,g2,0.0001,103,4000000,710,20000.0,35.498403,727.776733,727.776733
r36_g2_g0.0001_s104,gel,production,36.0,g2,0.0001,104,4000000,710,20000.0,35.498403,727.776733,727.776733
r36_g2_g0.0001_s105,gel,production,36.0,g2,0.0001,105,4000000,710,20000.0,35.498403,727.776733,727.776733
r36_g2_g0.0003_s101,gel,production,36.0,g2,0.0003,101,4000000,710,20000.0,35.498403,727.776733,727.776733
r36_g2_g0.0003_s102,gel,production,36.0,g2,0.0003,102,4000000,710,20000.0,35.498403,727.776733,727.776733
r36_g2_g0.0003_s103,gel,production,36.0,g2,0.0003,103,4000000,710,20000.0,35.498403,727.776733,727.776733
r36_g2_g0.0003_s104,gel,production,36.0,g2,0.0003,104,4000000,710,20000.0,35.498403,727.776733,727.776733
r36_g2_g0.0003_s105,gel,production,36.0,g2,0.0003,105,4000000,710,20000.0,35.498403,727.776733,727.776733
r36_g3_g0_s101,gel,production,36.0,g3,0.0,101,4000000,1170,20000.0,58.475121,663.410585,663.410585
r36_g3_g0_s102,gel,production,36.0,g3,0.0,102,4000000,1170,20000.0,58.475121,663.410585,663.410585
r36_g3_g0_s103,gel,production,36.0,g3,0.0,103,4000000,1170,20000.0,58.475121,663.410585,663.410585
r36_g3_g0_s104,gel,production,36.0,g3,0.0,104,4000000,1170,20000.0,58.475121,663.410585,663.410585
r36_g3_g0_s105,gel,production,36.0,g3,0.0,105,4000000,1170,20000.0,58.475121,663.410585,663.410585
r36_g3_g0.0001_s101,gel,production,36.0,g3,0.0001,101,4000000,1170,20000.0,58.475121,663.410585,663.410585
r36_g3_g0.0001_s102,gel,production,36.0,g3,0.0001,102,4000000,1170,20000.0,58.475121,663.410585,663.410585
r36_g3_g0.0001_s103,gel,production,36.0,g3,0.0001,103,4000000,1170,20000.0,58.475121,663.410585,663.410585
r36_g3_g0.0001_s104,gel,production,36.0,g3,0.0001,104,4000000,1170,20000.0,58.475121,663.410585,663.410585
r36_g3_g0.0001_s105,gel,production,36.0,g3,0.0001,105,4000000,1170,20000.0,58.475121,663.410585,663.410585
r36_g3_g0.0003_s101,gel,production,36.0,g3,0.0003,101,4000000,1170,20000.0,58.475121,663.410585,663.410585
r36_g3_g0.0003_s102,gel,production,36.0,g3,0.0003,102,4000000,1170,20000.0,58.475121,663.410585,663.410585
r36_g3_g0.0003_s103,gel,production,36.0,g3,0.0003,103,4000000,1170,20000.0,58.475121,663.410585,663.410585
r36_g3_g0.0003_s104,gel,production,36.0,g3,0.0003,104,4000000,1170,20000.0,58.475121,663.410585,663.410585
r36_g3_g0.0003_s105,gel,production,36.0,g3,0.0003,105,4000000,1170,20000.0,58.475121,663.410585,663.410585
r36_g4_g0_s101,gel,production,36.0,g4,0.0,101,4000000,1951,20000.0,97.506116,449.372608,449.372608
r36_g4_g0_s102,gel,production,36.0,g4,0.0,102,4000000,1951,20000.0,97.506116,449.372608,449.372608
r36_g4_g0_s103,gel,production,36.0,g4,0.0,103,4000000,1951,20000.0,97.506116,449.372608,449.372608
r36_g4_g0_s104,gel,production,36.0,g4,0.0,104,4000000,1951,20000.0,97.506116,449.372608,449.372608
r36_g4_g0_s105,gel,production,36.0,g4,0.0,105,4000000,1951,20000.0,97.506116,449.372608,449.372608
r36_g4_g0.0001_s101,gel,production,36.0,g4,0.0001,101,4000000,1951,20000.0,97.506116,449.372608,449.372608
r36_g4_g0.0001_s102,gel,production,36.0,g4,0.0001,102,4000000,1951,20000.0,97.506116,449.372608,449.372608
r36_g4_g0.0001_s103,gel,production,36.0,g4,0.0001,103,4000000,1951,20000.0,97.506116,449.372608,449.372608
r36_g4_g0.0001_s104,gel,production,36.0,g4,0.0001,104,4000000,1951,20000.0,97.506116,449.372608,449.372608
r36_g4_g0.0001_s105,gel,production,36.0,g4,0.0001,105,4000000,1951,20000.0,97.506116,449.372608,449.372608
